"X","Y","solid.E (Pa)","ht.kxx (W/(m*K))","u (m)","v (m)","solid.sxx (N/m^2)","solid.syy (N/m^2)","solid.sxy (N/m^2)","T (K)","ht.tfluxx (W/m^2)","ht.tfluxy (W/m^2)","d(solid.sx, x)+d(solid.sxy, y) (N/m^3)","d(solid.sxy, x)+d(solid.sy, y) (N/m^3)"
0,0,10,1,0,0,-2.186171629421038,-4.1787603315832476,0,1,0.891599068768727,0,-0.5558919361916034,-0.1261752675973436
0.01,0,10,1,0.0035134082061149133,0,-2.1890041520987666,-4.136677406200013,-2.3384378457758945E-5,0.9910783732506099,0.892726281109276,1.2991386526550741E-6,0.2837540913762829,-0.14152159428608363
0.02,0,10,1,0.00697116649200303,0,-2.1941328525998594,-4.084786667853117,-5.987120304272986E-5,0.9821404861453126,0.8953488307076611,3.4906354433954738E-6,0.014919061169188397,-0.21896024071810902
0.03,0,10,1,0.010365770396047799,0,-2.2020293789692102,-4.021079100303853,-7.981617130174806E-5,0.9731689201875621,0.8994535595577133,7.75515115236658E-6,-0.5187630149075304,-0.3702308809404911
0.04,0,10,1,0.01368714396199379,0,-2.2122211797956695,-3.9413783837528538,-2.2878834493589292E-5,0.964146571192784,0.9050278931493096,1.682390093549202E-5,-1.5729812372925231,-0.6211230583787716
0.05,0,10,1,0.016923144868345518,0,-2.238694031546179,-3.8469202453542204,-8.390725155878934E-5,0.9550580928258773,0.9126677802319769,2.4995955621776034E-5,0.8218545026243509,-0.7854275768949167
0.06,0,10,1,0.020057555776233138,0,-2.2733212106767846,-3.728731770312073,-8.995015412687041E-5,0.9458889701346865,0.9215585691516566,3.2363612866354015E-5,0.019153423752871213,-1.1036675596119692
0.07,0,10,1,0.02306844055363659,0,-2.318280990612652,-3.5813567988815764,-1.1284228253514674E-5,0.9366250449266285,0.9315605993592726,3.917086441518336E-5,-1.2743224096361256,-1.3319192588059112
0.08,0,10,1,0.02592915940372734,0,-2.3750671766708513,-3.4013436438528517,-8.256332283119967E-5,0.9272547909049286,0.9424902049807145,4.3731740084258124E-5,2.62254652175863,-1.5067725039945628
0.09,0,10,1,0.02861272730104715,0,-2.4614236328112766,-3.19642109578038,4.19311027865222E-5,0.9177702809179569,0.9543599360007613,3.362298863152091E-5,1.2092302106581156,-1.276094338514465
0.1,0,10,1,0.03109321195553096,0,-2.558069131745587,-2.9614346848090567,2.2272044418992517E-4,0.9081667002718324,0.966385292417641,2.4482347925723236E-5,-0.03707960163899848,-0.7163688543752548
